,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,fg_percentage,made_three_point_field_goals,attempted_three_point_field_goals,three_point_percentage,made_free_throws,attempted_free_throws,free_throw_percentage,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,ppg
454,Payton Pritchard,[<Position.POINT_GUARD: 'POINT GUARD'>],25,Team.BOSTON_CELTICS,48,3,643,101,245,0.412,56,154,0.364,12,16,0.75,25,63,64,14,1,40,37,270,5.6
455,Trevelin Queen,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25,Team.INDIANA_PACERS,7,0,70,7,29,0.241,2,15,0.133,5,5,1.0,8,9,6,2,5,7,4,21,3.0
456,Neemias Queta,[<Position.CENTER: 'CENTER'>],23,Team.SACRAMENTO_KINGS,5,0,29,6,9,0.667,0,0,,0,2,0.0,5,6,1,0,2,1,7,12,2.4
457,Immanuel Quickley,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23,Team.NEW_YORK_KNICKS,81,21,2344,419,936,0.448,168,454,0.37,203,248,0.819,58,279,279,80,14,100,166,1209,14.9
458,Lester Quinones,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22,Team.GOLDEN_STATE_WARRIORS,4,0,18,2,5,0.4,2,4,0.5,4,6,0.667,1,2,2,1,0,5,0,10,2.5
459,Julius Randle,[<Position.POWER_FORWARD: 'POWER FORWARD'>],28,Team.NEW_YORK_KNICKS,77,77,2737,658,1432,0.459,218,636,0.343,402,531,0.757,141,626,316,49,21,216,233,1936,25.1
460,Austin Reaves,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24,Team.LOS_ANGELES_LAKERS,64,22,1843,259,490,0.529,86,216,0.398,229,265,0.864,33,160,215,33,19,99,108,833,13.0
461,Cam Reddish,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23,Team.NEW_YORK_KNICKS,20,8,438,61,136,0.449,17,56,0.304,29,33,0.879,7,24,20,15,8,15,32,168,8.4
462,Cam Reddish,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23,Team.PORTLAND_TRAIL_BLAZERS,20,12,552,78,176,0.443,28,88,0.318,35,42,0.833,11,46,37,24,6,32,40,219,11.0
463,Davon Reed,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],27,Team.DENVER_NUGGETS,35,1,315,25,80,0.312,16,44,0.364,15,20,0.75,9,46,19,13,4,20,36,81,2.3
464,Davon Reed,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],27,Team.LOS_ANGELES_LAKERS,8,0,27,3,4,0.75,1,2,0.5,1,4,0.25,1,3,4,2,0,0,3,8,1.0
465,Paul Reed,[<Position.CENTER: 'CENTER'>],23,Team.PHILADELPHIA_76ERS,69,2,755,124,209,0.593,1,6,0.167,38,51,0.745,112,150,27,46,51,45,123,287,4.2
466,Naz Reid,[<Position.CENTER: 'CENTER'>],23,Team.MINNESOTA_TIMBERWOLVES,68,11,1251,310,577,0.537,75,217,0.346,86,127,0.677,73,260,77,42,53,92,176,781,11.5
467,Jared Rhoden,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23,Team.DETROIT_PISTONS,14,0,198,17,44,0.386,5,20,0.25,6,6,1.0,11,26,4,4,1,3,23,45,3.2
468,Nick Richards,[<Position.CENTER: 'CENTER'>],25,Team.CHARLOTTE_HORNETS,65,9,1217,197,313,0.629,1,1,1.0,137,183,0.749,147,269,38,11,71,59,154,532,8.2
469,Josh Richardson,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],29,Team.SAN_ANTONIO_SPURS,42,6,997,177,406,0.436,74,207,0.357,53,60,0.883,30,89,137,40,11,63,70,481,11.5
470,Josh Richardson,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],29,Team.NEW_ORLEANS_PELICANS,23,4,533,62,148,0.419,33,86,0.384,16,21,0.762,11,45,37,29,9,23,47,173,7.5
471,Austin Rivers,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],30,Team.MINNESOTA_TIMBERWOLVES,52,10,1016,91,209,0.435,43,123,0.35,30,39,0.769,5,78,75,28,4,23,80,255,4.9
